title,language,director,plot
The Bushwackers,American,Rod Amateau,tired killing war veteran jefferson waring rides west missouri sees squatters mowed men working rich ruthless artemus taylor spends night independence newspaperman peter sharpes place jailed daughter cathy sharpe finds total stranger room local marshal john harding one many men taylors payroll peters business threatened banker stone unless takes taylors side squatters settling region blind wheelchairbound taylor ambitious daughter norah secretly aware railroad surveyors considering laying tracks nearby want land jeff decides leave norah henchman ding bell intercept norah shoots misses take see artemus tells vocally reluctant bell take jeff remote canyon murder norahs instructions artemuss chief thug sam tobin goes murder wounds jeff kills bell bell hits fatal shot doctor treats jeffs wounds marshall harding turns charges jeff two killings situation escalates two taylors thugs gun peter sharpe jeff breaks jail organizes group settlers resist taylors planned big attack settlers slaughter taylors thugs taylor dies heart attack norah shot thinks killed banker justin stone order get getaway money killed leaves jeff stays town run paper cathy
Best Laid Plans,American,Mike Barker,bryce josh brolin successful man returns tiny hometown visit runs old friend nick alessandro nivola two decide go night enter bar bryce encounters kathy reese witherspoon blonde temptress eventually takes home night awakens kathy informs underage threatens tell police bryce committed statutory rape bryce panics decides tie hide away basement makes call nick unbeknownst bryce kathy actually nicks girlfriend lissa two schemed use bryces money pay 15000 debt owe smalltime hood jimmy terrence howard
Aadhi,Tamil,Ramana,film starts introducing trisha krishnan anjali sitting bench rameswaram feeding white pigeon calm ocean retired police officer shankar devan came sat bench side exchanging pleasantries suddenly whips knife kills help maternal uncle ramachandran nassar saying waiting moment many years comes back chennai ramachandran attend college scene shifts aadhi vijay lives foster family consisting parents mani manivannan lakshmi seetha loving sister new delhi takes course college chennai foster parents wishes actually personal mission eliminate people behind murder blood family unable separated aadhi foster family come chennai along revealed anjali studying college aadhi also agenda seek revenge familys killers assisted ramachandran meanwhile rdxsai kumar local gangster enters shown dispute another person pattabhi rajan p dev exact revenge ramachandran attempts kill one rdxs henchmen sada fails since aadhi kills gun armed first naturally rdx assumes killer none pattabhi kills however aadhi arrives scene help bullet vivek college classmate also comical rowdy threatens rdx telling one killed sada also kill abdullah adithya menon typical usual abdullah gets angry goes kill aadhi fails aadhi kills abdullah foster family witnessed act horror questioned foster family aadhi tells story aadhis biological father prakash raj honest cop arrested one rdxs henchmen revealed anjali aadhi family anjalis father livingston aadhis fathers brotherinlaw rdx pays aadhis house visit asks grandfather let henchmen go aadhis grandfather vijayakumar refuses rdx threatens find knives held aadhi cousins aadhis father arrives arrests rdx infuriated pays visit henchmen shankar together murder whole extended family anjali uncle ramachandran aadhi survived blast annihilated family house blown rdx aadhi escapes taken couple later became foster parents finding past aadhis foster parents requests come back new delhi refuses takes railway station nearly ambushed rdxs men succeeds defeating fight meets rdx warning bring brother subbaraju dubai promises kill soon arrives revenge kills ramachandran challenging aadhi meet rdxs place aadhi came finding rdx anjali kidnapped held hostage henchmen library college happens old house aadhi anjali family escapes killing rdxs brother gun anjali saved bullet students college college mates held rdxs men hostages thrilling climax aadhi kills rdx shown leaving reuniting anjali one left family
RoboCop,American,José Padilha,2028 multinational conglomerate omnicorp revolutionizes warfare introduction robotic peacekeepers capable maintaining law order hot spots vietnam iraq afghanistan iran led ceo raymond sellars company moves market technology domestic law enforcement passage dreyfus act forbidding deployment drones united states prevents aware americans oppose use military systems communities sellars asks dr dennett norton research team create alternative result proposal cyborg police officer however norton informs sellars someone stable enough handle cyborg turned one candidates rejected detroit police detective alex murphy chosen critically injured car bomb explosion arranged crime boss antoine vallon revenge murphys investigation activities norton persuades murphys wife clara sign procedure upon waking realizing extent transformation murphy flies rage escapes lab norton shuts brings back lab norton reveals murphy remnants human body head excluding parts brain respiratory organs heart right hand murphy disgusted asks euthanasia norton reminds murphy wifes sons patience convinces live combat training trainer rick mattox murphy proves unable compete standard omnicorp drones efficiency norton alters programming make efficient drone programming take actions make think increases efficiency dramatically also makes less empathetic due human nature bypassed shortly publicly unveiled murphy emotional breakdown forcing norton remove emotions ceremony robocop identifies apprehends criminal crowd goes reduce crime detroit dramatically simultaneously increasing public support repealing dreyfus act aware clara begun ask questions sellars orders norton keep away husband clara nevertheless manages confront robocop telling son davids nightmares experience leads murphy override programming access previously sealed files attempted murder learns son devastated witnessing explosion murphy pursues vallons gang exact revenge takes heavy damage armorpiercing weapons manages kill boss men murphy returns station joins old partner jack lewis confront two corrupt cops betrayed vallon shooting one tazing learning chief police also involved murphy moves arrest remotely shut mattox help pat novak proomnicorp talk show host sellars uses incident get dreyfus act repealed clara goes press angrily demands see husband fearful exposed sellars orders mattox destroy robocop hes repaired norton able reach first reveals truth robocop narrowly escapes building undergoes lockdown murphy returns storms building fighting way ed209 drones sent stop lewis fellow police arrive hold rest omnicorps forces mattox subdues murphy prepares finish killed lewis murphy makes way roof sellars waiting helicopter clara david hostages murphys programming initially prevents arresting sellars overcomes long enough kill sellars despite severely wounded omnicorps parent company ocp shuts project president vetoes repeal dreyfus act based testimony norton novaks anger murphys body rebuilt nortons laboratory waits clara david coming visit
The Entertainer,British,Tony Richardson,jean rice young london art teacher travels seaside resort specified partly filmed morecambe visit family emotionally confused row fiancé wants emigrate africa also deeply concerned suez crisis seen soldier brother war attended peace rally trafalgar square directed prime minister anthony eden finds resort declined presecond world war heyday drawing waning crowds despite midseason musichall act father archie rice olivier plays small number increasingly uninterested spectators family deeply dysfunctional beloved grandfather one leading stars music hall lives quiet retirement daughterinlaw grandson jean goes theatre father playing well undischarged bankrupt semialcoholic desperately short money hounded creditors incometax people well unpaid cast adored cynical son watched mild amusement father relationship phoebe second wife strained womaniser well aware tendencies openly commenting rest family often found drinking heavily latest show drawing close archie desperate secure new show winter season acting master ceremonies miss great britain beauty contest charms tina lapford young woman finished second place soon conducting affair wealthy ambitious parents want entertainment career willing put money archies new show includes shake hands deal going radio reports archies son mick captured egyptians suez major firefight archie seems oblivious news distress family fixated dream restarting stalled career affair daughter discovers affair tells grandfather acting believes sons best interests goes girls parents tells archie already married bankrupt swiftly break connections ending financing next show still digesting turn events news arrives archies son killed egypt body returned civic commemoration attended whole town reported awarded victoria cross actions archie still busy fixating career notice family falling apart news brotherinlaw wants help family relocate canada help run hotel archie rebuffs instead persuades impresario promote new show father headline attraction father despite age still extremely popular public demand return opening night father collapses dies completing estrangement family wife son determined go canada archie set staying britain even means going jail film ends archie making apparently final performance apathetic audience
Kitty Kornered,American,Robert Clampett,neighborhoods cat owners literally throw cats night porky pig attempts four cats tall black white lisping cat sylvester mediumsized tabby named gerald diminutive kitten named pedro dumb drunkard cat named jose attempt turn tables throw snow porky states hes starting hate pussycats porky bangs door demanding let cats pop door proclaim unison milkman keep bottles quiet slam door face soon leads battle porky cats house cats lounging around porky bursts window making incredibly menacing face chases around house one throws cabinet full dishes teapot porky retaliates setting pet dog lassie cats cats see dogs shadow run lives knowing lassie really shadow puppet created porkys fingers doesnt actually dog cat lisp sylvester finds theyve tricked others plot revenge exacted cats create war worldsesque sensation invading aliens disguising aliens driving porky panic men mars porky gets frightened tries shoot gun cats dressed like teddy roosevelt charge porky swords run house winning battle homeless alone cold snow porky turns camera asks audience vacancy house
Return of the Texan,American,Delmer Daves,wife dies sam crockett honors last wish moving back native texas two sons grandpa firth farm serious disrepair neighbor old acquaintance rod murray become owner large ranch marrying averill marshall hates poachers resents grandpa hunting deer land also unhappy averills sister ann engaged doctor developing romantic interest sam sam needs money fencing work rod slow pay leading fight grandpa suffers stroke ann helps nurse back health knows sam still loves late wife persuades begin life
Antarmahal,Bengali,Rituparno Ghosh,story takes place towards end 19th century bengal bhubaneswar chowdhury jackie shroff rich oppressive zamindar landlord planning please british bestow raibahadur title quite contenders something unique done decides put queen victorias face body goddess durga whose clay idol made every year durga pooja hand also wants heir since blames failure elder wife mahamaya roopa ganguly marries much younger jashomati soha ali khan wives compete ego struggle pursuit son bhubaneswar tries everything trying force jashomati priest reads hymns conception near bed ordering mahamaya drugged state fulfill carnal desires five sexually deprived brahmin priests although luckily escapes fate due untimely ending jashomati traumatised lonely state gets physically drawn towards young sculptor abhishek bachchan centre sculptor makes masterpiece tribute seals jashomatis ultimate fate
Yaan,Tamil,Ravi K. Chandran,film begins mumbai cops plan encounter terrorist malik shah nawab shah notorious criminalthe cops succeed trapping commissioner police anwar jayaprakash kills malik comes chandru jiiva happy go lucky jobless youth mba graduate lives grandmothers expense chandru meets sreela thulasi nair day encounter helps elope spot saving life chandru falls sreela first sight starts follow though initially refuses fall love soon usual sreelas father nasser opposes marriage chandru jobless doesnt incomehence chandru decides find job full fledge finally gets job offer basilistan strict islamic nation chandru travels basilistan help travel agent haridas bose venkat also introduces iqbal autistic teen boy chandru also travelling basilistan work asks chandru take care till reach basilistan morocco shock awaits chandru iqbal arrested basilistan airport carrying drugsin court sees guy named abdul rashid wealthy entrepreneur basilistan resembles terrorist malik chandru interrogated officials claims innocent sent prison note drug trafficking punishable offence basilistan killed officials chandru understands trap set haridas chandru meets chinnathambi ramaiah inmate jail tamil guy chinna arrested small crime released soon chinna tells chandru someone india help find lawyer basilistan get bail released chandru sends note sreela chinna sreela decides help chandru help commissioner anwar sreela travels basilistan rescue chandru meets tamil taxi driver drives jail way witness execution criminals shocked see chandru among group deeply hurt luckily chandru execution happen broken sword whilst executing imran taken back jail chandru escapes jail beating guard meets sreela escape place help taxi driver meantime revealed rashid none malik faked encounter dummy fearing identity revealed chandru follows chandru sreela kill cross basilistan border camel malik gets killed finally chandru sreela escape basilistan
Patel S. I. R.,Telugu,Vasu Parimi,film begins 60yearold retired army officer called patel sir jb roaming along blind granddaughter yamini baby dolly targets mafia gang led dr devraj kabir duhan singh spreading drug traffic country starts killing drs men one laala prabhakar monti prithviraj brutally corrupted police officer acp catherine tanya hope appointed find killer finds patel sir killer interesting twist revealed subhash patel highly decorated soldier wants son vallabh jb master charan ram child vallabh follow footsteps wants become doctor much fathers dismay therefore ordered house years patels wife bharathi aamani death bed vallabh comes visit wife rajeswari raaji padma priya children bharath master charan ram yamini baby dolly following bharathis death patel decides reconcile son family reunites everything going well unfortunately takes place tragic incident vallabh rescues journalist ravi sasidhar shot road crucial evidence drug kingpin dr death ravi hands vallabh wife son bharath master charan ram killed daughter yamini blinded thats patel taking revenge drs gang rest story patel reaches final target dr able get granddaughters eyesight back acp viswas subbaraju feature set
The Philadelphia Experiment,American,Stewart Raffill,1943 united states navy sailors david herdeg michael paré jim parker bobby di cicco assigned destroyer escort uss eldridge project make invisible radar ship philadelphia harbor filled equipment team led james longstreet eric christmas experiment equipment begins malfunctioning observers simply see ship disappear sailors board experience bizarre disorienting phase shift david jim try shut generator stop experiment receive severe electric shocks touch equipment two men jump overboard escape instead landing philadelphia harbor daytime david jim land night small desert town disappears well leaving dark open desert startled appearance bright light sky military helicopter spotlight looking intruders escape desert eventually find way diner next day energy discharge jim destroys arcade game diner upset diner owner grabs revolver demanding jim pay damages david grabs gun men run carjack car parking lot since unfamiliar automatic transmission david takes driver woman named allison nancy allen hostage driver shocked tells year 1984 police eventually catch jim suffering increasingly severe seizures hospitalized david explains jim accidentally traveled time one believes story jim eventually disappears hospital bed corona energy david allison evade military police arrived take david custody jim nearby california david decides try find family allison find family listed phone book drive see jims wife pamela louise latham senior citizen immediately recognizes david 1943 says uss eldridge reappeared minutes disappearing lot sailors board horribly burned jim also returned hospitalized telling truth temporarily visiting 1984 david asks finds never came back pamela jim married many years david sees jim distance riding horse jim slowly come terms bizarre events 1943 refuses come inside speak david david allison see military police approaching manage elude one cars david salvages documents mentioning dr longstreet recognizing longstreet involved philadelphia experiment 1943 decide find spend time together david allison fall love 1984 dr longstreet attempted use technologies used original philadelphia experiment create shield protect icbm attack equipment tested nearby town disappeared hyperspace like uss eldridge scientists unable shut experiment despite cutting power worse experiment left vortex 1984 starts sucking matter vortex causes extremely severe weather including tornadoes monstrous bolts lightning longstreet predicts vortex continue expand entire world consumed scientists send probe vortex discover eldridge inside two experiments linked together across time theorize generators eldridge providing energy keep vortex open david captures assistant longstreets home includes small model town saw first arrived forces man take onto base captured get elevator control center longstreet tells military police let david shows situation tells david according surviving sailors eldridge ship returned philadelphia 1943 david shut generator longstreet says david must go vortex eldridge shut generator vortex destroy earth allison urges david volunteers go save ship outfitted electrically insulated suit enable shut generator catapulted vortex lands deck eldridge finds crew panicked injured hurries generator room smashes arrays vacuum tubes using firefighting axe generator shuts david looks jim assured jim fine david jumps side ship disappears back 1943 longstreet others watch eldridge reappear philadelphia long range observers note crewmen badly burned others fused alive ships hull likewise 1984 missing town reappears allison steals jeep drive finds david kiss passionately proclaims got figured navy owes 40 years back pay
Welcome Home Roscoe Jenkins,American,Malcolm D. Lee,dr rj roscoe stevens martin lawrence talkshow sensation discarded simple southern awkwardboy past awkward boy used dispense motivational advice millions adoring fans reality tv series survivor winner bianca kittles joy bryant arm enough cash pocket easily afford expensive gifts parents feels like theres nothing hasnt achieved parents request come home 50th wedding anniversary rj packs 10yearold son jamaal damani roberts fiancée bianca heads back sleepy southern hometown ready impress downhome kin much hes changed rj prove hes longer walking disaster used pick arrive georgia first greeted pick pocketing cousin reggie mike epps asks 300 buy ice family barbecue family home roscoe greeted parents roscoe sr james earl jones mama jenkins margaret avery brother otis michael clarke duncan town sheriff otis wife ruthie liz mikel overgrown kids junior brandin jenkins callie krystal marea braud roscoes loud rowdy sister betty monique long roscoes cousin clyde cedric entertainer drops bringing old spark competition roscoe also escorting lucinda nicole ari parker past love interest roscoes visit roscoe endures much selfhumiliation accidentally hitting mother head softball softball game getting beaten otis betty insults constantly getting blackmailed reggie getting sprayed skunk sleeping becomes obvious still holds grudge father treated younger showing preference clyde wouldnt even fully discipline roscoe sr resents son changing name distancing family meanwhile bianca doesnt fit well family roscoe lucinda get reacquainted day jenkins anniversary whole family gathers traditional jenkinsfamily obstacle course roscoe determined defeat clyde challenges two become even competitive race begins roscoe clyde aggressively make way obstacles sometimes hurting contestants climbing wall ropes roscoe begins help son bianca tells leave much parents shock roscoe clyde race finish line roscoe wins bianca cheers roscoe overjoyed victory begins berate everyone reminding team family angry actions obstacle course jamaal refuses go near father roscoe sr chastises son unable contain resentment roscoe lashes father saying although clydes father died roscoe felt lost father favored clyde chastises always crediting clyde things hes done never acknowledging successes accomplishments stunned distraught admission roscoe sr walks away feeling hurt clyde walks roscoe says never tried take place tries shake roscoes hand make amends bianca tells back roscoe decides bianca jamaal start home leaves mother reminds family still loves drive airport bianca proposes inviting family wedding roscoe seems agree upsets jamaal despite bianca wanting get board team proudly declares jenkins bianca continues say mean things jenkins clan roscoe pretends agree airport thanks finally letting see true colors dumps angrily feeling humiliated roscoe jamaal gets car pull away airport pulls rope holding bags top car dumping airport driveway roscoe jamaal head back family home keeping biancas pet pomeranian fifi turned bianca joined jenkins clan pursue relationship familys overaged dog bucky 25 dog years 175 human years anniversary celebration clyde cries speech mama papa jenkins admitting cared lot roscoe roscoe suddenly appears apologizes family congratulates parents father make amends roscoe asks lucinda dance celebration family watches hidef television roscoe lucinda make lovebut find nasty surprise bucky fifi bedroom intercourse like credits roscoe seen interviewing family show renamed roscoe jenkins show
Night of the Demon,American,James C. Wasson,bill nugent anthropology professor awakens hospital brought found woods face mutilated nugent ventured wilderness search bigfoot five pupils missing inspector interviews nugent begins story starts carla thomas daughter one cryptids victims asking accompany nugent four students expedition find proof bigfoots existence flashback depicts nugent showing carla class recovered footage bigfoot attacking picnicking family whose remains never found bigfoots involvement disappearance family deemed hoax authorities also labeled evidence suggesting monsters involvement deaths area fake carla addresses classroom reveals evidence bigfoots involvement fathers murder appears tampered tells one womans account witnessing creature maul lover dragged vehicle sex left die windshield night nugent assures wife companions fine despite university revoking sanctioning expedition next day nugent group camp carlsons landing owned lou carlson despite previously sharing information bigfoot authorities acts evasive towards nugent brushing professors questions student bribes carlson alcohol learns recluse named crazy wanda woman supposedly connected bigfoot elsewhere hunter impaled bigfoot throws onto jagged branch nugent five companions reach nearby town question residents wanda learning went mute stillborn deformed baby daughter deranged preacher known emmet mcginty whose followers rumored inbred cannibalistic practitioners human sacrifice live nearby almost total isolation nugent five discuss findings spied sheriff smokes cigarette identical ones student found ashtray carlsons house sextet reach end river set camp nugent discusses biker killed via manual emasculation nearby middle night explorers awakened chanting happen upon rumored cult includes sheriff performing satanic sexual ritual involving wanda effigy bigfoot nugent scares everyone firing gun air ensuing commotion statue bigfoot catches fire campers observed bigfoot morning discover boat vanished large footprints left scene group continues onward regardless sex hours later two students attacked bigfoot claws mans back eventually expeditionists find wandas cabin gain entrance offering wanda candy shown plaster mold one bigfoots footprints wanda goes berserk locks room pass time wanda calms nugent mentions woodsman hacked bits axe two girl scouts stabbed knives student goes killed bigfoot slams face tree causing man accidentally shoot attempt get information nugent uses hypnosis wanda recalls abusive childhood raped impregnated bigfoot mcginty looked horror convinced beast demon mcginty killed halfhuman grandchild moment born turn wanda set fire made look like suicide nugent digs remains wandas offspring appear beast man bigfoot appears absconds dead spawn nugent others barricade wandas cabin hours later bigfoot breaks ignoring dissonantly calm wanda forces nugents face onto hot stove butchers others means include strangulation disembowelment throat slitting impalement present nugent begs inspector find wanda bigfoot prevent deaths sedated inspector attending doctors discuss nugents tale deem criminally insane
The Magnificent Seven Ride,American,George McGowan,southern arizona territory former hired gunturnedmarshal chris adams rescues old friend former bounty hunter jim mackay ambush recovering long ride across desert jim asks chris help defend small mexican border town magdalena come constant attack bandit de toro men recently married assumed job marshal however chris reluctant assist jim despite long friendship later chris refuses request wife arrila release jailed teenager shelly donavan charged robbery insisting donavan needs responsible actions chris meets newspaper writer noah forbes wants write story chriss eventful brutal career next morning loading bitter prisoners pepe carral walt drummond donavan onto tucson prison wagon transport chris abruptly decides let donavan go free chris meets noah discuss exploits donavan joins friends brothers hank bob allen celebrate release goaded action allens observation drab lives farmers remain unchanged donavan leads pair bank robbery arrila meets chris noah street outside bank wounding chris donavan abducts arrila rides away allens reviving two days later chris immediately goes search arrila despite injury agrees let noah accompany desert noah chris find arrilas dead body galvanizes chris find donavan exact revenge night chris tracks allens demands know donavans whereabouts confident chris marshal must take back town trial unharmed hank reveals donavan fled mexico admits arrila raped tortured murder chris shoots hank bob pleading life insists join assault accusing allowing arrilas attack chris shoots bob noah looks shock continuing search donavan chris rides toward mexican border finds jim group armed farmers magdalena hiding ridge hoping ambush de toro jim reveals donavan rode previous day asks chris support chris refuses tells friend badly outnumbered slaughtered chris noah depart tracking donavan desert find circling back toward jims location hearing distant gunfire men hurry ridge find farmers dead although jim among chris reflects men magdalena likely left wives unprotected assuming jim returned rides mexico uncertain noah arriving magdalena chris spots three bandits around mission shooting enters church find handful townswomen raped beaten laurie gunn explains seventeen women defenseless de toro forty men arrived previous day declaring womens husbands massacred although laurie women plead chris take away magdalena de toros return points horses desert trek would kill realizing american cavalry cross border chris wonders defend women promising return help frantic women chris noah ride away toward tucson far magdalena pair come upon bodies jim donavan remaining farmers tucson chris meets governor travels prison presents skeptical warden request pardon last five prisoners arrested tough violent men pepe carrall walt drummond scott elliott mark skinner former confederate captain andy hayes meeting men chris explains sign pardons agree join posse although suspicious hostile men grudgingly agree loaded supplies prison group departs de toros hacienda jim described earlier arriving outside hacienda confirming men posted guards chris tells men raid house take anything desire although doubtful men agree quickly overcome guards loot home finding de toros woman chris orders taken captive men ride magdalena chris tells men try escape signs pardons hunted america de toro hound mexico destroying home realizing alternative men give ideas breaking away mexico continue magdalena laurie grateful women wait suspecting may day prepare de toro tracks chris designs elaborate plan attack using supplies longrange rifles dynamite barbed wire repeating rifles next day womens assistance former construction worker elliotts guidance group digs several ditches building several post barbed wire fences specific points leading back town elliott also constructs hidden barriers across mountain trails town following day women trained reloading weapons group awaits de toros arrival bandits attack initial assault longrange guns sends outlaws disarray chris others retreat planned second line defense protected elliotts clever rigged barbed fence cuts another large segment bandits dynamited walt hayes elliott killed noah wounded group retreats town behind another rigged barricade brief lull chris goes mission de toros woman town children kept tells laurie last resort lure bandits inside blow church de toros renewed assault comes pepe killed hearing bandits approaching mission laurie prepares detonate dynamite first sets de toros woman free woman rushes outside gunfight accidentally shot de toro momentarily stunned de toro pauses chris kills dismayed death leader remaining bandits ride away relieved survived chris noah skinner agree stay magdalena start new lives
Broken Arrow,American,Delmer Daves,tom jeffords comes across wounded 14yearold apache boy dying buckshot wounds back jeffords gives boy water heals wounds boys tribesmen appear first hostile decide let jeffords go free however group gold prospectors approaches apache gag jeffords tie tree helpless watches attack prospectors torture survivors warriors let go warn enter apache territory jeffords returns tucson encounters prospector escaped ambush corrects mans exaggerated account attack ben slade incredulous see jeffords kill apache boy instead jeffords learns apache language customs plans go cochises stronghold behalf friend milt charge mail service tucson jeffords enters apache stronghold begins parley cochise agrees let couriers jeffords meets young apache girl sonseeahray falls love cochises warriors attack army wagon train kill survivors townsfolk nearly lynch jeffords traitor saved general oliver otis howard recruits jeffords negotiate peace cochise howard christian general condemns racism saying bible says nothing pigmentation skin jeffords makes peace treaty cochise group led geronimo oppose treaty leave stronghold renegades ambush stagecoach jeffords rides seek help cochise stagecoach saved jeffords sonseeahray marry apache ceremony several days tranquility later ben slades son spins story jeffords cochise two horses stolen cochises people cochise says people take doubts story knows boys father apache hater decide go along boy canyon ambushed boys father gang men tucson jeffords badly wounded sonseeahray killed cochise kills men including ben slade cochise forbids jeffords retaliate saying ambush done military geronimo broke peace less slade men peace must maintained jeffords rides belief death sonseeahray put seal upon peace day wherever went cities among apaches mountains always remembered wife
Cleopatra,British,Joseph L. Mankiewicz,battle pharsalus 48 bc julius caesar rex harrison defeated pompey great brutal civil war control roman republic pompey flees egypt hoping enlist support young pharaoh ptolemy xiii richard osullivan sister cleopatra elizabeth taylor caesar follows egypt pretext named executor father ptolemy xii much dismay caesar given pompeys head gift highly manipulated pharaoh convinced chief eunuch pothinus gregoire aslan act would endear caesar caesar stays one palaces slave named apollodorus cesare danova brings gift suspicious caesar unrolls rug finds cleopatra concealed within intrigued beauty warm personality convinces restore throne younger brother soon cleopatra warns caesar brother surrounded palace soldiers vastly outnumbered counterattacking orders egyptian fleet burned gain control harbor fire spreads city destroying famous library alexandria cleopatra angrily confronts caesar refuses pull troops away fight ptolemys forces quell fire middle spat caesar forcefully kisses romans hold armies mithridates arrive egyptian soil causing ptolemys offensive collapse following day caesar effective control kingdom sentences pothinus death arranging assassination attempt cleopatra banishes ptolemy eastern desert outnumbered army would face certain death mithridates cleopatra crowned queen egypt begins develop megalomaniacal dreams ruling world caesar turn desires become king rome marry son caesarion born caesar accepts publicly becomes talk rome senate made dictator life caesar sends cleopatra arrives rome lavish procession wins adulation roman people senate grows increasingly discontented amid rumors caesar wishes made king anathema romans ides march 44 bc senate preparing vote whether award caesar additional powers assassinate caesar split empire marcus aemilius lepidus receives africa octavian roddy mcdowall receives hispania gaul mark antony richard burton take control eastern provinces however rivalry octavian antony becoming apparent cleopatra angered caesars recognizes adopted son octavian instead caesarion official heir angrily returns egypt planning campaign parthia east antony realizes needs money supplies cannot get enough anywhere egypt refusing several times leave egypt cleopatra gives meets tarsus antony becomes drunk lavish feast cleopatra sneaks away leaving slave dressed antony discovers trick confronts queen war decided naval battle actium september 2 31 bc octavians fleet command agrippa defeats antonyegyptian fleet midst battle antonys ship fire cleopatra assumes dead orders egyptian forces home antony follows leaving fleet leaderless soon defeated several months later cleopatra manages convince antony retake command troops fight octavians advancing army however antonys soldiers lost faith abandon night rufio martin landau last man loyal antony kills antony tries goad octavian single combat finally forced flee city octavian army march alexandria caesarions dead body wagon octavian taken caesarions ring mother gave earlier parting gift sent safety antony returns palace apollodorus believing antony worthy queen convinces dead whereupon antony falls sword apollodorus confesses misled antony assists tomb cleopatra two servants taken refuge antony dies wounds soon octavian seizes palace discovers dead body apollodorus poisoned octavian receives word antony dead cleopatra holed tomb octavian sees verbal sparring offers word spare return possessions allow rule egypt roman province return agreeing accompany rome observes caesarions ring octavians hand inquires son octavian denies knowledge whereabouts pledges allow rule egypt mothers absence cleopatra knows son dead octavians word without value agrees octavians terms including pledge harm sworn life dead son octavian departs orders servants coded language assist suicide sends servant charmion give octavian letter letter asks buried antony octavian realizes going kill guards burst cleopatras chamber find dressed gold dead along servant eiras asp crawls along floor charmion found kneeling next altar cleopatra lying agrippa asks well done lady replies extremely well befitting last many noble rulers falls dead agrippa watches
Yolki 2,Russian,"Dmitry Kiselyov, Alexander Baranov, Alexander Kott, Levan Gabriadze",films plot revolves around 12 cities russia many characters appeared previous film two pilots alexei petrenko chief pilot pawel bershak copilot try land passenger plane landing heart abandoned airport without knowing anyone control tower delight pilots passengers lonely man former pilot vladimir menshov continues work abandoned airport sense duty storyline transpires throughout entire film successful saint petersburg businessman boris ivan urgant gets amnesia boris desperately tries remember meets evgeniy sergei svetlakov veterinarian yakutsk got know year earlier happens meet together sets journey regain memory clues letters zg written back hand couple friends alexander domogarov jr alexander golovin extreme sport enthusiasts still continue compete happen meet old woman manya accidentally injured previous film end trying favor need deliver cast iron bathtub manya gifted local parliament member viktor verzhbitsky also turns manya attractive granddaughter anna khilkevich little girl nastya valeria streliaje lives mother anna chipovskaya raised single parent nevertheless nastya feels person may grant mother happiness father never met mothers friend also thinks helps write letter santa claus turns wish might come true santa pyotr fyodorov suddenly appears front door home eve new year yulia snegiryova receives letter delivered forty years ago beloved grigory zemlyanikin apologizes committing stupid mistake indicating wait every year chimes red square soon arrives flies away voyage urgently needs return twelve oclock beloved taxi driver pashka nikita presnyakov serves presidential regiment december 31 waits popstar vera brezhneva red square chiming clock wrote many letters vera received response pashka decides go way meets veras agent turns producer fedya first film hid pashkas letters fedor learns taxi driver krasnoyarsk come calls protection pashka cuts goes vera singer irritated pashka writing claims know vera takes producers phone finally reads messages meet chiming clock red square alyona alyona konstantinova russian girl wants marry caucasian young man named aslan movsarov timor orzoyev even though parents girls father police captain vladimir snegiryov sergey bezrukov decides lock protective custody tries force break aslan
"Nick Carter, Master Detective",American,Jacques Tourneur,nick carter boards airliner john keller inventor revolutionary new aircraft pilot makes unscheduled landing confederates try steal kellers plans carter holds stewardess lou farnsby manages fly safety carter posing robert chalmers new assistant hiram streeter boss california factory lou reassigned infirmary investigation carter receives unwanted help bartholomew fancies amateur sleuth test flight new aircraft ends disaster wings ripped highspeed dive test pilot killed found bolts attaching wings cut later carter finds kellers body running car closed garage carter suspects keller strangled scene staged look like suicide finally carter notices time part blueprints goes missing worker serious accident sent home surmises sections plans photographed film hidden bandages goes apprehend plants doctor frankton frankton forewarned unable leave factory time unsuspecting lou escort patient home carter arrives frankton tells lou killed unless doctor shows prearranged rendezvous soon carter lets leave secretly roof car painted white cross enables carter track frankton airplane section los angeles docks frankton associates complete plans lou race waiting ship carter engages firefight crew using tommy gun borrowed police prevents getaway pilot shot harbor patrol gunboat arrives instigation bartholomew villains forced surrender
